Parti,Pozitif,Nötr,Negatif,Toplam,Guvenilir (n>=10)
AKP,39.17748917748918,58.44155844155844,2.380952380952381,462,True
CHP_IYI_Ortak,37.238493723849366,60.25104602510461,2.510460251046025,239,True
DEM,0.0,100.0,0.0,3,False
MHP,45.18518518518518,52.59259259259259,2.2222222222222223,135,True
