CumleID,Parti,Cumle,PozSkor,NegSkor,algoritma_kod,elle_kod
599,CHP_IYI_Ortak,"•  İmalat sanayi ihracatında yüksek teknolojili ürünlerin payını yüzde 10’lara, orta-yüksek tek­ noloji yoğunluğunu yüzde 40’lara taşıyacağız.",0,0,nötr,
155,AKP,•	 Ekonominin tüm kritik alanlarında dijital dönüşümün gerçekleşmesi için  altyapıyı güçlendireceğiz.,0,0,nötr,
622,CHP_IYI_Ortak,"•  Nükleer enerjide yerli teknolojilerin geliştirilmesinin önünü açacak insan kaynağının yetiş­ tirilmesi için, yeni nesil nükleer teknolojilere dayalı Nükleer Araştırma ve Eğitim Merkezi  kurarak ‘Türkiye Nükleer Ekosistemi’ geliştireceğiz.",2,0,pozitif,
215,AKP,"•	 Çevreyi ve temiz kömür teknolojilerini gözeterek, ülkemizin yerli kö- mür potansiyelinden azami faydalanarak enerjide dışa bağımlılığımızı  azaltmak amacıyla yapılan arama ve üretim çalışmaları neticesinde,  yerli kömür kaynaklı elektrik kurulu gücümüzü 2022 yılı sonu itibarıy- la 11.437 MW’a, yerli kömür kaynaklı üretimimizi ise yıllık 49,5 milyar  kWh’e ulaştırdık.",2,0,pozitif,
291,AKP,"•	 Dijital Dönüşüm Danışmanlığı Desteği ile işletmelerin mevcut durumla- rını analiz ediyor, dijitalleşmeye yönelik bulut bilişim, nesnelerin inter- neti ve robotik yatırımlarını destekliyoruz.",0,0,nötr,
750,MHP,Pazar ivmesi her geçen gün hızlanan diji­ tal ekonominin gelişmesi için etkin dijital risk yönetimine ihtiyaç  bulunmaktadır.,0,1,negatif,
793,MHP,"KOBİ’ler tarafından, üretilecek mal ve hizmetlerde standartların  oluşumu, kalitenin yükseltilmesi ve pazara ulaşımda bilgi ve ileti­ şim teknolojileri kullanımının yaygınlaştırılması temin edilmelidir.",0,0,nötr,
487,CHP_IYI_Ortak,•  Dijital içerik ve ortamlar kullanılarak öğrencilerin en az bir yabancı dil öğrenmesini ve yazı­ lım ile kodlama becerisi kazanmasını sağlayacağız.,0,0,nötr,
532,CHP_IYI_Ortak,"•  Akademisyenlerin, gerçekleştirdikleri teknoloji üretimi ve araştırma faaliyetlerinden elde  edilen gelirlerden daha fazla pay almalarını sağlayacağız.",0,0,nötr,
39,AKP,•	 Yapay Zeka Stratejimiz ile yapay zekâ alanının GSYH’ye katkısını yüzde  5’in üzerine çıkaracağız.,0,0,nötr,
